#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2007-01-30T20:45:32
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	-ref=Vxml24157	

#RESOURCE=5050
#Name: V/50
#Title:	Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Table	V_50_catalog:
#Name: V/50/catalog
#Title:	The main part of the Catalogue
#Coosys	J2000_2000.000:	eq_FK5 2000_2000.000
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)
#---List of  values:     	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#HR	RAJ2000	DEJ2000	Vmag	B-V
#	"h:m:s"	"d:m:s"	mag	mag
#----	----------	---------	-----	-----
4439	11 32 20.8	+61 04 57	 5.48	 0.50
4440	11 31 47.6	-20 46 36	 6.24	 0.54
4441	11 31 46.1	-59 26 32	 5.13	 1.08
4442	11 31 48.8	-59 30 57	 5.15	 0.49
4443	11 32 16.1	-29 15 48	 5.81	 0.53
4444	11 32 16.3	-29 15 40	 5.64	 0.53
4445	11 32 23.3	-26 44 48	 6.16	 1.66
4446	11 32 47.5	-07 49 39	 5.95	 1.38
4447	11 32 48.1	-40 26 11	 5.64	 1.58
4448	11 32 19.9	-66 57 44	 5.90	 1.13
4449	11 32 54.1	-31 05 14	 5.04	 1.58
4450	11 33 00.1	-31 51 28	 3.54	 0.94
4451	11 33 14.6	-16 16 50	 6.05	 0.60
4452	11 33 56.3	+36 48 56	 6.40	 1.05
4453	11 33 37.3	-40 35 13	 5.39	 0.12
4454	11 34 10.0	+11 01 25	 6.55	 0.18
4455	11 34 22.0	+03 03 36	 5.77	 0.46
4456	11 34 42.5	+16 47 49	 5.95	-0.16
4457	11 35 04.9	+54 47 07	 5.63	 1.02
4458	11 34 29.5	-32 49 53	 5.98	 0.81
4459	11 35 03.8	+20 26 29	 6.45	 1.01
4460	11 34 45.7	-54 15 51	 4.62	-0.08
4461	11 36 02.8	+69 19 22	 5.20	 1.01
4462	11 34 56.8	-49 08 12	 5.50	 1.04
4463	11 35 13.2	-47 22 21	 5.71	 1.66
4464	11 35 43.4	+10 54 40	 6.56	 0.13
4465	11 36 17.9	+27 46 52	 5.80	 0.23
4466	11 35 55.6	-47 38 30	 5.25	 0.25
4467	11 35 46.8	-63 01 11	 3.13	-0.04
4468	11 36 40.9	-09 48 08	 4.70	-0.08
4469	11 36 35.0	-33 34 12	 5.74	 1.02
4470	11 36 40.8	-37 14 16	 6.31	 0.06
4471	11 36 56.9	-00 49 26	 4.30	 1.00
4472	11 36 22.3	-61 03 08	 5.83	-0.09
4473	11 37 01.2	-32 59 17	 6.29	 0.46
4474	11 37 53.0	+50 37 06	 6.14	 1.07
4475	11 37 00.6	-61 17 00	 5.15	 1.12
4476	11 37 33.9	-47 44 50	 5.44	 1.24
4477	11 38 20.6	+43 37 32	 5.59	 0.33
4478	11 38 09.8	+08 53 03	 6.17	 1.08
4479	11 37 15.6	-75 53 48	 5.65	 0.35
4480	11 38 33.5	+46 50 03	 6.10	 0.38
4481	11 38 49.2	+64 20 49	 6.46	
4482	11 38 32.2	+33 37 32	 6.27	 1.32
4483	11 38 27.6	+08 08 03	 5.36	 1.57
4484	11 38 24.1	-02 26 10	 6.22	 1.12
4485	11 37 48.4	-67 37 13	 5.96	 1.02
4486	11 38 44.9	+45 06 31	 6.44	 0.56
4487	11 38 07.3	-61 49 35	 5.15	-0.02
4488	11 38 40.1	-13 12 07	 5.48	 0.52
4489	11 39 00.4	-24 43 16	 6.42	 0.82
4490	11 39 51.1	-14 28 07	 6.21	 0.00
4491	11 39 50.4	-16 37 13	 6.19	 1.62
4492	11 39 29.4	-65 23 52	 5.17	 0.80
4493	11 40 27.4	+57 58 14	 6.37	-0.12
4494	11 40 12.8	-34 44 41	 4.70	-0.07
4495	11 40 47.1	+21 21 10	 5.26	 0.98
4496	11 41 03.0	+34 12 06	 5.33	 0.72
4497	11 40 42.6	-53 58 07	 5.96	 1.66
4498	11 41 08.4	-29 11 47	 6.44	 0.66
4499	11 40 53.6	-62 05 24	 4.94	 1.15
4500	11 41 43.6	+55 10 21	 6.27	 1.49
4501	11 41 34.3	+31 44 46	 5.73	 0.43
4502	11 41 19.8	-43 05 45	 5.55	
4503	11 41 44.0	-32 29 59	 5.22	 1.48
4504	11 42 28.4	+66 44 42	 5.30	 1.28
4505	11 42 05.2	+22 12 39	 6.59	
4506	11 42 03.5	-20 17 38	 6.22	 0.95
4507	11 41 01.2	-83 06 00	 6.33	 1.08
4508	11 43 27.2	-37 11 25	 5.98	 1.46
4509	11 42 55.4	-79 18 23	 6.39	 0.90
4510	11 43 55.1	-06 40 38	 6.07	 0.96
4511	11 43 31.2	-62 29 22	 5.03	 0.80
4512	11 44 13.2	+25 13 06	 6.02	 1.53
4513	11 43 52.9	-62 52 42	 6.10	 0.06
4514	11 44 45.8	-18 21 03	 4.73	 0.97
4515	11 45 17.1	+08 15 30	 4.85	 0.18
4516	11 45 12.6	-49 04 11	 6.26	 1.17
4517	11 45 51.6	+06 31 46	 4.03	 1.51
4518	11 46 03.0	+47 46 46	 3.71	 1.18
4519	11 45 43.9	-45 41 24	 5.29	-0.12
4520	11 45 36.4	-66 43 43	 3.64	 0.16
4521	11 46 55.6	+55 37 42	 5.27	 1.27
4522	11 46 30.8	-61 10 42	 4.11	 0.90
4523	11 46 31.1	-40 30 02	 4.91	 0.66
4524	11 47 07.0	-35 54 25	 6.17	 0.96
4525	11 47 15.7	-30 17 13	 6.48	 0.68
4526	11 47 19.1	-57 41 47	 5.41	 1.67
4527	11 47 59.1	+20 13 08	 4.53	 0.55
4528	11 47 54.9	+08 14 45	 5.32	 0.02
4529	11 48 23.5	-10 18 48	 6.26	 0.58
4530	11 48 14.3	-66 48 53	 4.72	 1.54
4531	11 48 38.7	+14 17 03	 5.88	 0.29
4532	11 48 45.1	-26 44 59	 5.11	 1.60
4533	11 49 01.2	-00 19 07	 6.15	 0.52
4534	11 49 03.6	+14 34 19	 2.14	 0.09
4535	11 49 14.9	+16 14 34	 6.04	 0.27
4536	11 49 41.7	+34 55 54	 5.70	 0.46
4537	11 49 41.1	-63 47 18	 4.32	-0.15
4538	11 49 56.6	-70 13 33	 4.97	 1.40
4539	11 50 19.5	-15 51 50	 6.13	 0.95
4540	11 50 41.7	+01 45 53	 3.61	 0.55
4541	11 50 27.2	-62 38 58	 5.70	 0.26
4542	11 50 37.1	-27 16 40	 6.48	 0.98
4543	11 50 55.3	+12 16 44	 6.35	 0.27
4544	11 51 02.2	-05 20 00	 5.64	 1.06
4545	11 51 09.4	+33 22 30	 6.27	 0.32
4546	11 51 08.7	-45 10 25	 4.46	 1.30
4547	11 51 21.9	-12 11 16	 6.35	 0.40
4548	11 51 41.6	-30 50 06	 5.85	 0.56
4549	11 51 51.2	-65 12 22	 4.90	-0.11
4550	11 52 58.8	+37 43 07	 6.45	 0.75
4551	11 52 10.1	-56 59 16	 5.57	 0.07
4552	11 52 54.6	-33 54 29	 4.28	-0.10
4553	11 53 26.8	-35 04 00	 6.17	 0.08
4554	11 53 49.8	+53 41 41	 2.44	 0.00
4555	11 53 50.3	+00 33 07	 6.30	 0.20
4556	11 54 11.5	-57 24 36	 6.06	 0.05
4557	11 54 25.8	-37 44 56	 6.46	 0.52
4558	11 54 42.5	-25 42 50	 5.30	 0.88
4559	11 55 03.1	+08 26 38	 5.58	 0.94
4560	11 55 05.7	+46 28 37	 6.54	 0.10
4561	11 55 11.2	+46 28 11	 7.03	 0.01
4562	11 55 14.1	+36 45 23	 6.49	 1.58
4563	11 54 59.8	-63 16 44	 5.91	 0.19
4564	11 55 40.5	+15 38 48	 5.53	 0.11
4565	11 55 40.1	-28 28 37	 5.93	 1.50
4566	11 55 58.4	+56 35 55	 5.84	 1.10
4567	11 56 00.9	-17 09 03	 5.18	-0.02
4568	11 55 54.7	-39 41 21	 6.13	 1.02
4569	11 56 53.2	+61 32 57	 6.22	 0.96
4570	11 56 43.9	-47 04 21	 6.26	 0.40
4571	11 57 03.7	-33 18 55	 6.21	-0.04
4572	11 57 14.6	+40 20 37	 6.62	 0.46
4573	11 57 40.1	-62 26 56	 5.57	-0.15
4574	11 58 07.2	+32 16 26	 6.42	 0.29
4575	11 58 20.6	+61 27 53	 6.76	
4576	11 58 15.2	-56 19 02	 5.44	-0.08
4577	11 58 20.3	-40 56 50	 6.79	 0.97
4578	11 58 47.7	-64 20 21	 5.61	 0.18
4579	11 58 54.4	-25 54 32	 6.43	 0.03
4580	11 59 03.4	+00 31 50	 6.17	 1.26
4581	11 59 17.6	+33 10 03	 5.96	 1.15
4582	11 59 10.9	-51 41 48	 6.05	 1.28
4583	11 59 37.3	-78 13 19	 4.91	-0.06
4584	11 59 57.2	+34 02 06	 6.50	 0.22
4585	11 59 56.9	+03 39 19	 5.37	 0.00
4586	12 00 18.6	+80 51 11	 6.17	 1.61
4587	12 00 44.5	-10 26 46	 5.55	 0.77
4588	12 00 42.5	-21 50 14	 6.28	 1.22
4589	12 00 52.4	+06 36 51	 4.66	 0.13
4590	12 00 51.2	-19 39 32	 5.26	-0.20
4591	12 01 01.8	-01 46 05	 6.31	 1.21
4592	12 01 29.0	-57 30 13	 6.16	 0.00
4593	12 01 39.5	+36 02 31	 5.59	 1.01
4594	12 02 06.8	+43 02 44	 5.21	 0.26
4595	12 02 20.1	-85 37 54	 6.05	 1.29
4596	12 02 28.6	-71 29 20	 6.42	 1.17
4597	12 02 37.7	-69 11 32	 5.89	-0.08
4598	12 02 51.6	-07 41 01	 6.22	 1.49
4599	12 03 01.5	-63 18 46	 4.33	 0.27
4600	12 03 39.6	-42 26 03	 5.15	 0.41
4601	12 03 44.3	-74 12 50	 6.44	 1.23
4602	12 04 16.6	+21 27 33	 5.87	 0.22
4603	12 04 19.2	-63 09 56	 4.72	-0.08
4604	12 04 38.7	-68 19 45	 5.35	-0.01
4605	12 04 46.5	-76 31 09	 5.04	 1.49
4606	12 04 28.1	+85 35 14	 6.27	 0.59
4607	12 04 57.1	-60 58 09	 5.96	 1.67
4608	12 05 12.5	+08 43 59	 4.12	 0.98
4609	12 05 15.1	+76 54 21	 5.80	 1.01
4610	12 05 39.7	+62 55 59	 6.13	 1.17
4611	12 05 53.2	-65 32 50	 6.33	 0.22
4612	12 05 56.7	-35 41 38	 6.23	-0.08
4613	12 05 59.8	-03 07 54	 6.37	 1.00
4614	12 06 19.8	-68 39 03	 6.23	 1.24
4615	12 06 23.1	-65 42 33	 6.06	 0.65
4616	12 06 52.9	-64 36 49	 4.15	 0.34
4617	12 07 49.8	-75 22 01	 5.18	 1.30
4618	12 08 05.2	-50 39 41	 4.47	-0.15
4619	12 08 04.8	-50 45 48	 6.37	-0.05
4620	12 08 14.7	-48 41 34	 5.34	-0.01
4621	12 08 21.5	-50 43 21	 2.60	-0.12
4622	12 08 24.6	-60 50 50	 6.22	 1.74
4623	12 08 24.8	-24 43 44	 4.02	 0.32
4624	12 08 53.8	-44 19 34	 5.75	 0.24
4625	12 08 54.5	-41 13 53	 5.48	-0.07
4626	12 09 41.3	+01 53 52	 5.95	 1.12
4627	12 09 47.3	+74 39 41	 6.35	 0.50
4628	12 10 02.5	-34 42 18	 6.17	 0.03
4629	12 10 03.4	+05 48 25	 5.72	 0.35
4630	12 10 07.5	-22 37 11	 3.00	 1.33
4631	12 10 33.8	-37 52 13	 6.06	 0.20
4632	12 10 31.6	+16 48 33	 6.39	 0.06
4633	12 10 46.1	+27 16 53	 6.01	 0.11
4634	12 11 04.9	-61 16 39	 6.08	 0.39
4635	12 11 03.9	-23 36 09	 5.46	 0.06
4636	12 11 02.9	-45 25 22	 6.61	 1.08
4637	12 11 31.4	-51 21 34	 6.23	 0.82
4638	12 11 39.1	-52 22 07	 3.96	-0.15
4639	12 11 00.0	+81 42 36	 6.00	 1.62
4640	12 11 51.2	+25 52 13	 5.66	 1.41
4641	12 11 44.9	+57 03 16	 6.43	
4642	12 12 01.2	+28 32 10	 6.49	 0.36
4643	12 12 09.3	+20 32 31	 5.57	 0.95
4644	12 12 22.0	-62 57 03	 5.92	 0.29
4645	12 12 46.8	-70 09 07	 6.17	 0.84
4646	12 12 11.9	+77 36 59	 5.14	 0.33
4647	12 13 13.0	-34 07 32	 6.50	 1.66
4648	12 13 25.3	-38 55 45	 5.76	-0.13
4649	12 13 55.7	-78 34 25	 6.35	 1.24
4650	12 13 25.9	+10 15 44	 5.85	 0.27
4651	12 13 36.7	-33 47 34	 6.33	 0.08
4652	12 14 02.6	-45 43 26	 5.31	 1.43
4653	12 14 16.8	-64 24 31	 6.22	 0.12
4654	12 14 43.4	+53 26 05	 6.16	 1.04
4655	12 14 59.6	-20 50 39	 5.83	 1.05
4656	12 15 08.7	-58 44 56	 2.80	-0.23
4657	12 15 10.6	-10 18 45	 6.11	 0.46
4658	12 15 30.5	-41 54 47	 6.26	 1.01
4659	12 15 08.5	+70 12 00	 5.71	 1.19
4660	12 15 25.6	+57 01 57	 3.31	 0.08
4661	12 15 47.0	-23 21 13	 6.54	 0.45
4662	12 15 48.4	-17 32 31	 2.59	-0.11
4663	12 16 00.2	+14 53 56	 5.10	 0.06
4664	12 16 23.5	-72 36 53	 6.22	-0.01
4665	12 15 41.4	+72 33 03	 6.29	 1.14
4666	12 16 07.6	+40 39 37	 5.66	 1.55
4667	12 16 20.5	+23 56 43	 4.95	 0.97
4668	12 16 30.1	+33 03 41	 5.00	 1.14
4669	12 17 06.0	-65 41 34	 6.06	 0.03
4670	12 17 03.3	-16 41 37	 6.05	 0.10
4671	12 17 34.1	-67 57 39	 4.11	 1.58
4672	12 17 29.5	+53 11 28	 5.81	 1.30
4673	12 17 30.5	+28 56 14	 5.70	 0.16
4674	12 18 20.7	-79 18 44	 4.26	-0.12
4675	12 17 47.3	-36 05 38	 6.15	 0.01
4676	12 17 44.3	+15 08 39	 6.34	 1.37
4677	12 18 09.1	-03 57 16	 6.99	 0.36
4678	12 18 09.6	-03 56 55	 6.54	 0.33
4679	12 18 26.1	-64 00 11	 4.04	-0.17
4680	12 18 31.6	+30 14 57	 6.23	 0.30
4681	12 18 40.3	-00 47 14	 5.90	 0.17
4682	12 18 59.7	-55 08 35	 5.00	 1.59
4683	12 16 51.4	+86 26 10	 6.33	 0.43
4684	12 19 02.1	+26 00 28	 6.48	 0.18
4685	12 19 19.1	+23 02 05	 6.27	 0.17
4686	12 15 20.3	+87 42 00	 6.28	 0.35
4687	12 18 49.9	+75 09 38	 5.38	-0.02
4688	12 19 29.6	+28 09 25	 6.33	 0.50
4689	12 19 54.4	-00 40 01	 3.89	 0.02
4690	12 19 48.7	+48 59 03	 5.29	 1.66
4691	12 20 10.7	-22 10 32	 5.97	 0.82
4692	12 20 28.0	-65 50 34	 6.21	-0.04
4693	12 20 19.7	+26 37 10	 5.54	 1.09
4694	12 20 17.7	+26 00 07	 6.15	 0.30
4695	12 20 21.0	+03 18 45	 4.96	 1.16
4696	12 20 33.7	-22 12 57	 5.21	-0.10
4697	12 20 43.0	+17 47 34	 4.74	 1.01
4698	12 20 41.3	+27 03 17	 7.13	 0.36
4699	12 20 55.7	-13 33 56	 5.14	 1.05
4700	12 21 21.6	-60 24 04	 3.59	 1.42
4701	12 20 50.8	+57 51 50	 5.55	 1.43
4702	12 21 57.5	-56 22 29	 5.92	 1.57
4703	12 22 07.3	-67 31 19	 5.15	 0.19
4704	12 22 11.9	-68 18 27	 5.74	 1.04
4705	12 22 10.8	+24 46 26	 6.19	-0.01
4706	12 22 49.3	-57 40 34	 5.39	-0.10
4707	12 22 30.3	+25 50 46	 4.81	 0.49
4708	12 22 32.0	+05 18 20	 6.40	 0.60
4709	12 25 37.5	-86 09 02	 6.33	 1.08
4710	12 23 13.8	-67 37 54	 6.36	 0.89
4711	12 23 21.6	-24 50 26	 5.68	 1.16
4712	12 23 35.4	-35 24 46	 5.32	-0.08
4713	12 23 36.9	-39 18 11	 6.40	 0.29
4714	12 23 44.9	-38 54 40	 5.79	-0.08
4715	12 23 47.0	+42 32 34	 6.06	 0.33
4716	12 24 01.5	+51 33 44	 4.80	 0.87
4717	12 24 18.5	+26 05 55	 5.18	 0.08
4718	12 24 44.7	-41 23 03	 6.25	 1.18
4719	12 24 26.7	+25 34 58	 6.42	 0.27
4720	12 25 17.3	-65 46 14	 6.30	 0.96
4721	12 25 08.5	-42 30 52	 6.11	 0.65
4722	12 25 11.7	-11 36 37	 5.95	 0.03
4723	12 25 18.4	-27 44 57	 6.09	 1.27
4724	12 25 21.8	-35 11 11	 5.73	-0.06
4725	12 25 15.1	+23 55 34	 6.03	 1.10
4726	12 25 03.2	+56 46 39	 5.81	 1.62
4727	12 25 06.4	+63 48 10	 6.32	 0.91
4728	12 25 50.9	+39 01 07	 5.02	 0.96
4729	12 26 30.9	-63 07 21	 4.86	-0.12
4730	12 26 35.9	-63 05 57	 1.33	-0.24
4731	12 26 36.5	-63 05 58	 1.73	-0.26
4732	12 26 31.6	-51 27 03	 4.82	-0.14
4733	12 26 24.1	+27 16 06	 4.95	 0.27
4734	12 26 48.2	-48 54 48	 6.26	 0.68
4735	12 26 51.7	-32 49 48	 5.55	 0.01
4736	12 27 24.6	-63 47 21	 6.00	 0.07
4737	12 26 56.3	+28 16 06	 4.36	 1.13
4738	12 26 59.3	+26 49 32	 5.00	 0.08
4739	12 27 28.7	-58 59 31	 5.50	 1.45
4740	12 26 24.2	+71 55 47	 6.24	 1.06
4741	12 27 42.1	+08 36 37	 6.37	 0.93
4742	12 27 49.4	-16 37 55	 6.35	 0.84
4743	12 28 02.4	-50 13 50	 3.91	-0.19
4744	12 28 18.9	-64 20 29	 6.04	 0.02
4745	12 27 35.1	+55 42 46	 5.70	 1.55
4746	12 27 51.6	-04 36 55	 6.22	 0.44
4747	12 28 25.5	-61 47 43	 6.22	 1.26
4748	12 28 22.5	-39 02 29	 5.44	-0.08
4749	12 28 33.4	-56 24 28	 6.15	 0.92
4750	12 28 38.1	+26 13 36	 6.54	 0.17
4751	12 28 44.6	+25 53 57	 6.65	 0.22
4752	12 28 54.7	+25 54 46	 5.29	-0.05
4753	12 29 26.9	+24 06 32	 5.48	 0.43
4754	12 29 53.9	-56 31 29	 5.80	 1.56
4755	12 29 57.9	-41 44 10	 6.02	 1.52
4756	12 29 43.2	+20 53 46	 5.69	 0.07
4757	12 29 51.9	-16 30 56	 2.95	-0.05
4758	12 30 04.8	-13 23 35	 6.35	 0.56
4759	12 30 17.5	-23 41 48	 5.63	 1.67
4760	12 29 57.3	+58 24 21	 5.35	 0.20
4761	12 30 02.9	+51 32 08	 6.21	 0.51
4762	12 30 04.3	+58 46 03	 6.08	 0.98
4763	12 31 09.9	-57 06 48	 1.63	 1.59
4764	12 31 16.7	-57 04 52	 6.42	 0.16
4765	12 30 06.7	+69 12 04	 4.95	 1.62
4766	12 31 00.6	+24 34 02	 5.46	 0.05
4767	12 30 50.1	+53 04 36	 6.21	 0.54
4768	12 31 40.3	-59 25 26	 5.48	 0.63
4769	12 32 10.0	-73 00 06	 5.88	 1.11
4770	12 31 21.4	+07 36 15	 6.05	 1.52
4771	12 31 55.8	-63 30 22	 5.95	 0.27
4772	12 31 38.7	-05 03 09	 6.19	 1.04
4773	12 32 28.0	-72 07 59	 3.87	-0.15
4774	12 32 04.5	-32 32 01	 6.46	 0.20
4775	12 32 04.2	-16 11 46	 4.31	 0.38
4776	12 32 36.0	-13 51 33	 5.74	 0.40
4777	12 33 02.9	+10 17 44	 6.26	 0.95
4778	12 33 22.4	-19 47 31	 6.26	 0.29
4779	12 33 34.3	-12 49 49	 5.58	 0.86
4780	12 33 34.2	+24 16 59	 6.29	 0.11
4781	12 33 46.8	-09 27 07	 5.48	-0.03
4782	12 33 59.2	-49 54 34	 6.38	 0.46
4783	12 33 38.9	+33 14 51	 5.42	 1.00
4784	12 33 47.4	+33 23 05	 6.24	 1.05
4785	12 33 44.5	+41 21 27	 4.26	 0.59
4786	12 34 23.2	-23 23 48	 2.65	 0.89
4787	12 33 29.0	+69 47 18	 3.87	-0.13
4788	12 34 42.3	-44 40 24	 5.77	 0.70
4789	12 34 51.1	+22 37 45	 4.81	 0.00
4790	12 35 29.0	-61 50 31	 6.22	 0.73
4791	12 35 06.3	+18 22 38	 6.56	 0.25
4792	12 35 07.8	+18 22 37	 5.02	 1.15
4793	12 35 08.1	+21 52 53	 5.85	 1.22
4794	12 35 45.5	-41 01 19	 5.13	 0.22
4795	12 34 44.0	+70 01 19	 4.94	 1.31
4796	12 36 01.2	-39 52 12	 5.80	 0.01
4797	12 35 58.6	-20 31 38	 6.20	 0.33
4798	12 37 11.0	-69 08 08	 2.69	-0.20
4799	12 36 47.4	-05 49 55	 5.87	 0.07
4800	12 36 23.3	+59 29 13	 5.50	
4801	12 36 58.3	+17 05 22	 5.68	 1.41
4802	12 37 42.2	-48 32 28	 3.86	 0.05
4803	12 37 42.2	-27 08 20	 5.45	 0.32
4804	12 39 14.5	-75 22 10	 6.49	 0.08
4805	12 38 04.4	+03 16 57	 6.33	 0.01
4806	12 38 52.5	-67 11 35	 6.25	 0.06
4807	12 38 22.4	+01 51 17	 5.71	 1.60
4808	12 38 30.0	+06 59 18	 7.08	 1.44
4809	12 38 44.6	-18 15 01	 6.00	 0.29
4810	12 39 03.5	-30 25 20	 5.89	 1.21
4811	12 38 46.3	+40 52 28	 6.37	 0.18
4812	12 39 02.1	+22 39 34	 6.38	 1.10
4813	12 39 14.8	-07 59 44	 4.66	 1.23
4814	12 39 55.6	-66 30 42	 6.26	-0.05
4815	12 39 07.3	+21 03 45	 5.46	 0.96
4816	12 39 16.9	+35 57 07	 6.45	 0.06
4817	12 39 52.5	-39 59 15	 4.64	-0.08
4818	12 41 23.0	-46 08 44	 5.84	 1.52
4819	12 41 31.0	-48 57 35	 2.17	-0.01
4820	12 42 05.1	-69 24 27	 6.33	 0.78
4821	12 41 16.0	-13 00 49	 6.08	
4822	12 41 16.2	-13 00 54	 5.98	 0.42
4823	12 41 56.6	-59 41 09	 4.93	-0.04
4824	12 41 34.4	+10 25 35	 6.19	 0.19
4825	12 41 39.6	-01 26 58	 3.65	 0.36
4826	12 41 39.6	-01 26 58	 3.68	
4827	12 41 49.2	-19 45 31	 6.03	 0.39
4828	12 41 53.1	+10 14 08	 4.88	 0.09
4829	12 41 57.1	+06 48 24	 5.59	 0.00
4830	12 42 50.3	-63 03 31	 5.31	 0.27
4831	12 42 35.4	-48 48 47	 4.66	 1.09
4832	12 42 49.6	-55 56 50	 6.08	-0.03
4833	12 41 33.9	+62 42 47	 6.07	 0.01
4834	12 43 09.1	-56 10 34	 6.00	-0.08
4835	12 43 28.2	-58 54 11	 6.40	 1.09
4836	12 43 26.3	-40 10 40	 6.44	 0.25
4837	12 43 38.1	-01 34 37	 5.93	 0.86
4838	12 43 58.7	-36 20 57	 6.39	-0.06
4839	12 44 00.5	-28 19 26	 5.48	 1.34
4840	12 43 04.2	+61 09 20	 6.38	 1.26
4841	12 45 01.7	-68 49 52	 6.16	 0.69
4842	12 45 37.9	-60 58 52	 4.69	 1.05
4843	12 44 27.1	+44 06 11	 6.33	 0.43
4844	12 46 16.9	-68 06 29	 3.05	-0.18
4845	12 44 59.5	+39 16 44	 5.95	 0.55
4846	12 45 07.8	+45 26 25	 4.99	 2.54
4847	12 45 37.1	+07 40 24	 5.22	 0.33
4848	12 46 22.7	-56 29 20	 4.65	-0.16
4849	12 46 22.5	+09 32 24	 5.67	 0.99
4850	12 46 46.0	-33 18 56	 5.86	 1.34
4851	12 46 38.7	+16 34 39	 5.12	 1.35
4852	12 44 26.0	+80 37 16	 6.40	 0.12
4853	12 47 43.2	-59 41 19	 1.25	-0.23
4854	12 47 02.3	+05 57 03	 6.34	-0.05
4855	12 47 13.6	+11 57 29	 6.07	 0.12
4856	12 47 33.4	-06 18 07	 6.26	 0.55
4857	12 47 53.7	-24 51 06	 6.44	-0.06
4858	12 47 51.4	+03 34 22	 6.41	 1.60
4859	12 47 18.9	+62 46 51	 5.89	
4860	12 48 26.4	-27 35 51	 5.66	 0.95
4861	12 48 14.3	+13 33 11	 6.56	 0.01
4862	12 49 44.9	-71 59 11	 5.55	 1.17
4863	12 47 34.4	+66 47 25	 5.43	 1.56
4864	12 48 47.0	+24 50 25	 6.31	 0.70
4865	12 48 54.2	+14 07 21	 5.70	 0.02
4866	12 48 41.8	+48 28 01	 6.27	 0.18
4867	12 48 39.4	+60 19 12	 5.85	 0.46
4868	12 50 12.0	-60 24 03	 6.75	 0.35
4869	12 49 17.4	+27 33 08	 5.78	 0.03
4870	12 54 58.6	-85 07 24	 5.46	 1.02
4871	12 50 19.6	-48 27 35	 6.24	 0.05
4872	12 50 57.9	-52 47 15	 5.73	 0.13
4873	12 50 17.4	+22 51 48	 6.43	 1.00
4874	12 50 41.2	-33 59 58	 4.91	-0.04
4875	12 50 10.7	+37 31 01	 5.89	 0.15
4876	12 51 17.8	-60 19 47	 5.72	 0.38
4877	12 51 22.9	-10 20 18	 6.41	 1.02
4878	12 51 36.9	+03 03 24	 6.02	 1.29
4879	12 51 56.8	-39 40 51	 5.98	-0.10
4880	12 52 05.3	-48 05 39	 6.33	 0.03
4881	12 51 57.9	-26 44 17	 6.15	 0.23
4882	12 52 24.6	-53 49 46	 6.24	 1.13
4883	12 51 41.9	+27 32 26	 4.94	 0.67
4884	12 52 12.3	+17 04 26	 6.32	 1.59
4885	12 53 03.9	-54 57 09	 5.93	 1.31
4886	12 52 27.6	+16 07 21	 6.30	 0.16
4887	12 53 21.8	-60 19 43	 5.76	 0.33
4888	12 53 06.9	-48 56 36	 4.33	 1.37
4889	12 53 26.2	-40 10 44	 4.27	 0.21
4890	12 53 49.1	-60 22 37	 5.90	 0.20
4891	12 53 11.2	-03 33 11	 6.11	 0.50
4892	12 49 06.6	+83 25 05	 5.85	-0.06
4893	12 49 13.6	+83 24 46	 5.28	-0.03
4894	12 53 17.8	+21 14 42	 4.90	 0.90
4895	12 54 22.0	-58 25 50	 6.58	 0.76
4896	12 53 38.1	-04 13 26	 6.44	 1.10
4897	12 54 39.2	-59 08 48	 4.62	-0.15
4898	12 54 35.6	-57 10 40	 4.03	-0.17
4899	12 54 36.8	-57 10 06	 5.17	-0.12
4900	12 53 49.7	+12 25 07	 6.25	 0.27
4901	12 54 18.7	-11 38 55	 6.00	 0.08
4902	12 54 21.2	-09 32 20	 4.79	 1.60
4903	12 54 58.5	-44 09 07	 5.89	 0.64
4904	12 54 13.1	+33 32 04	 6.26	 0.20
4905	12 54 01.7	+55 57 35	 1.77	-0.02
4906	12 55 19.4	-42 54 57	 5.47	 1.68
4907	12 56 31.5	-72 11 07	 5.93	 1.13
4908	12 55 57.0	-56 50 10	 5.32	 0.01
4909	12 54 56.5	+47 11 48	 5.84	 1.55
4910	12 55 36.2	+03 23 51	 3.38	 1.58
4911	12 55 53.3	-15 19 37	 6.17	 0.00
4912	12 56 30.1	-26 27 37	 6.62	 0.68
4913	12 57 04.4	-51 11 55	 5.16	-0.06
4914	12 56 00.4	+38 18 53	 5.60	 0.34
4915	12 56 01.7	+38 19 06	 2.90	-0.12
4916	12 55 28.5	+65 26 19	 5.24	 0.28
